"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","women","native_american","asian","black","hispanic","pacific_islander","white","two_more_races","unkown","foreign","total_minority"
"Florence-Darlington Technical College","South Carolina","SC","Public","2 Year",NA,5540,5540,8210,8210,6215,NA,NA,NA,NA,NA,4088,56,41,3117,111,2,2519,33,333,3,3360
"Florida Agricultural and Mechanical University","Florida","FL","Public","4 Year",10594,5827,16421,17768,28362,NA,25,48000,83900,62,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida Atlantic University","Florida","FL","Public","4 Year",11896,6039,17935,21595,33491,30297,11,49400,91200,51,15,17277,57,1318,5678,7255,36,14031,924,260,738,15268
"Florida College","Florida","FL","Private","4 Year",8370,17142,25512,17142,25512,555,NA,NA,NA,NA,NA,278,8,4,28,21,3,451,30,1,9,94
"Florida Gateway College","Florida","FL","Public","2 Year",NA,3100,3100,11747,11747,2912,NA,NA,NA,NA,NA,1879,11,31,332,132,0,2356,20,26,4,526
"Florida Gulf Coast University","Florida","FL","Public","4 Year",10156,6118,16274,25162,35318,14473,NA,NA,NA,NA,NA,8174,29,235,1062,2648,18,9702,373,175,231,4365
"Florida Institute of Technology","Florida","FL","Private","4 Year",12880,41850,54730,41850,54730,6393,3,58300,105400,53,48,2110,28,174,533,359,17,2406,97,535,2244,1208
"Florida International University","Florida","FL","Public","4 Year",10882,6558,17440,18956,29838,49610,13,49600,90100,51,16,27757,42,1434,5977,31211,57,5683,1042,545,3619,39763
"Florida Keys Community College","Florida","FL","Public","2 Year",10200,3277,13477,13162,23362,1033,NA,NA,NA,NA,NA,573,5,23,74,31,5,684,18,190,3,156
"Florida Memorial University","Florida","FL","Private","4 Year",7816,15536,23352,15536,23352,1528,NA,NA,NA,NA,NA,948,0,3,1101,71,0,9,10,142,192,1185
"Florida National University","Florida","FL","For Profit","2 Year",NA,13800,13800,13800,13800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida Southern College","Florida","FL","Private","4 Year",11650,36348,47998,36348,47998,2670,NA,NA,NA,NA,NA,1681,13,50,183,266,5,1907,84,32,130,601
"Florida SouthWestern State College","Florida","FL","Public","2 Year",9000,3401,12401,13944,22944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida State College at Jacksonville","Florida","FL","Public","2 Year",NA,3146,3146,12038,12038,25514,NA,NA,NA,NA,NA,15280,79,913,6481,1725,127,12470,563,2943,213,9888
"Florida State University","Florida","FL","Public","4 Year",10816,6516,17332,21683,32499,41226,8,50800,92700,49,18,22645,116,1029,3377,6594,59,26466,1063,647,1875,12238
"Folsom Lake College","California","CA","Public","2 Year",NA,1450,1450,9580,9580,7942,NA,NA,NA,NA,NA,4568,63,756,213,1330,47,4904,440,165,24,2849
"Fond du Lac Tribal and Community College","Minnesota","MN","Public","2 Year",3598,5258,8856,5258,8856,2215,NA,NA,NA,NA,NA,1232,175,17,88,59,2,1718,114,39,3,455
"Fontbonne University","Missouri","MO","Private","4 Year",10530,26340,36870,26340,36870,1819,NA,NA,NA,NA,NA,1278,4,22,310,42,1,1203,21,30,186,400
"Foothill College","California","CA","Public","2 Year",NA,1499,1499,9419,9419,15030,NA,NA,NA,NA,NA,7331,29,3555,601,3437,103,5011,788,268,1238,8513
"Fordham University","New York","NY","Private","4 Year",17969,52687,70656,52687,70656,15231,NA,NA,NA,NA,NA,8903,18,1164,959,1879,15,8365,420,509,1902,4455
"Forrest Junior College","South Carolina","SC","For Profit","2 Year",NA,8700,8700,8700,8700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Forsyth Technical Community College","North Carolina","NC","Public","2 Year",NA,2446,2446,8206,8206,9148,NA,NA,NA,NA,NA,5526,43,173,2613,700,11,5190,192,164,62,3732
"Fort Hays State University","Kansas","KS","Public","4 Year",8300,5133,13433,15201,23501,13825,16,45100,79300,64,6,8367,56,130,514,877,15,8190,281,200,3562,1873
"Fort Lewis College","Colorado","CO","Public","4 Year",9878,9040,18918,19696,29574,3791,13,48300,82600,55,19,1846,887,24,31,388,8,2065,227,108,53,1565
"Fort Peck Community College","Montana","MT","Public","2 Year",6075,2520,8595,2520,8595,346,NA,NA,NA,NA,NA,210,297,4,1,4,0,39,0,1,0,306
"Fort Scott Community College","Kansas","KS","Public","2 Year",5770,2880,8650,3330,9100,1816,NA,NA,NA,NA,NA,939,23,15,140,67,7,1490,62,2,10,314
"Fort Valley State University","Georgia","GA","Public","4 Year",8372,6664,15036,19740,28112,2594,NA,NA,NA,NA,NA,1607,4,3,2372,31,1,132,33,3,15,2444
"Fox Valley Technical College","Wisconsin","WI","Public","2 Year",NA,4565,4565,6578,6578,10519,NA,NA,NA,NA,NA,5053,125,430,236,414,13,8035,32,1177,57,1250
"Framingham State University","Massachusetts","MA","Public","4 Year",12306,10335,22641,16415,28721,6499,NA,NA,NA,NA,NA,4398,7,178,392,529,4,4922,184,248,35,1294
"Francis Marion University","South Carolina","SC","Public","4 Year",7948,11160,19108,21544,29492,3944,NA,NA,NA,NA,NA,2769,11,47,1778,56,2,1904,38,45,63,1932
"Franciscan University of Steubenville","Ohio","OH","Private","4 Year",8500,27630,36130,27630,36130,2714,NA,NA,NA,NA,NA,1648,3,50,12,248,1,2136,56,173,35,370
"Frank Phillips College","Texas","TX","Public","2 Year",5040,2838,7878,3850,8890,1348,NA,NA,NA,NA,NA,778,64,5,61,182,1,1001,0,21,13,313
"Franklin & Marshall College","Pennsylvania","PA","Private","4 Year",14050,56750,70800,56750,70800,2209,NA,NA,NA,NA,NA,1131,2,101,122,177,0,1307,44,156,300,446
"Franklin College","Indiana","IN","Private","4 Year",9946,32010,41956,32010,41956,NA,16,48900,86200,45,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Franklin Pierce University","New Hampshire","NH","Private","4 Year",13345,36900,50245,36900,50245,2275,NA,NA,NA,NA,NA,1280,10,36,81,40,3,1731,63,257,54,233
"Franklin University","Ohio","OH","Private","4 Year",NA,15805,15805,15805,15805,5732,NA,NA,NA,NA,NA,3284,11,196,1199,180,6,3632,177,241,90,1769
"Franklin W. Olin College of Engineering","Massachusetts","MA","Private","4 Year",16300,53736,70036,53736,70036,350,NA,NA,NA,NA,NA,168,1,51,3,12,0,187,21,37,38,88
"Frederick Community College","Maryland","MD","Public","2 Year",NA,4457,4457,11627,11627,6031,NA,NA,NA,NA,NA,3411,23,281,777,583,0,4116,184,31,36,1848
"Freed-Hardeman University","Tennessee","TN","Private","4 Year",8260,21950,30210,21950,30210,1867,20,43700,78200,54,9,1091,4,10,230,38,0,1313,28,211,33,310
"Fremont College","California","CA","For Profit","2 Year",NA,36400,36400,36400,36400,387,NA,NA,NA,NA,NA,243,0,23,95,194,6,24,12,33,0,330
"Fresno City College","California","CA","Public","2 Year",NA,1420,1420,9160,9160,22307,NA,NA,NA,NA,NA,11653,133,3213,1392,11534,41,5075,559,354,6,16872
"Fresno Pacific University","California","CA","Private","4 Year",8676,31452,40128,31452,40128,3458,NA,NA,NA,NA,NA,2391,41,149,178,1374,24,1360,57,211,64,1823
"Friends University","Kansas","KS","Private","4 Year",7972,28415,36387,28415,36387,1882,21,44700,76500,59,14,1084,25,51,204,68,7,1303,118,106,0,473
"Front Range Community College","Colorado","CO","Public","2 Year",NA,3986,3986,15074,15074,18761,NA,NA,NA,NA,NA,10769,137,618,324,2622,37,13228,657,811,327,4395
"Frostburg State University","Maryland","MD","Public","4 Year",10202,9172,19374,22892,33094,5645,21,49600,87000,48,19,2959,6,99,1466,244,5,3362,223,117,123,2043
"Fullerton College","California","CA","Public","2 Year",NA,1445,1445,9185,9185,25051,NA,NA,NA,NA,NA,12852,71,3403,792,13042,95,5711,788,855,294,18191
"Fulton-Montgomery Community College","New York","NY","Public","2 Year",11870,5460,17330,10060,21930,2589,NA,NA,NA,NA,NA,1473,2,25,191,295,2,1709,67,168,130,582
"Furman University","South Carolina","SC","Private","4 Year",12712,49532,62244,49532,62244,2973,NA,NA,NA,NA,NA,1725,3,53,158,113,0,2368,74,64,140,401
"Gadsden State Community College","Alabama","AL","Public","2 Year",3600,4800,8400,8430,12030,5289,NA,NA,NA,NA,NA,3121,68,27,1053,155,9,3693,99,84,101,1411
"Gallaudet University",NA,"DC","Private","4 Year",14100,17038,31138,17038,31138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galveston College","Texas","TX","Public","2 Year",NA,2050,2050,4600,4600,2048,NA,NA,NA,NA,NA,1255,8,53,313,668,3,915,12,58,18,1057
"Gannon University","Pennsylvania","PA","Private","4 Year",12650,32136,44786,32136,44786,4410,NA,NA,NA,NA,NA,2420,9,63,167,89,11,3294,60,121,596,399
"Garden City Community College","Kansas","KS","Public","2 Year",5450,3120,8570,3690,9140,2072,NA,NA,NA,NA,NA,1105,14,64,159,732,0,990,0,111,2,969
"Gardner-Webb University","North Carolina","NC","Private","4 Year",10390,31220,41610,31220,41610,4470,NA,NA,NA,NA,NA,3000,28,43,932,106,0,3060,0,251,50,1109
"Garrett College","Maryland","MD","Public","2 Year",8275,4380,12655,9870,18145,713,NA,NA,NA,NA,NA,359,1,2,171,18,0,484,21,0,16,213
"Gaston College","North Carolina","NC","Public","2 Year",NA,2386,2386,8146,8146,5777,NA,NA,NA,NA,NA,3776,34,83,881,356,2,4065,0,356,0,1356
"Gateway Community and Technical College","Kentucky","KY","Public","2 Year",NA,5350,5350,18040,18040,4594,NA,NA,NA,NA,NA,2319,11,31,403,137,5,3789,100,115,3,687
"Gateway Community College","Connecticut","CT","Public","2 Year",NA,4404,4404,13644,13644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GateWay Community College","Arizona","AZ","Public","2 Year",NA,2580,2580,9810,9810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gateway Technical College","Wisconsin","WI","Public","2 Year",NA,4026,4026,6039,6039,7410,NA,NA,NA,NA,NA,4398,35,89,1018,1108,3,4874,193,87,3,2446
"Gavilan College","California","CA","Public","2 Year",NA,1418,1418,8408,8408,5531,NA,NA,NA,NA,NA,2909,29,327,122,3087,19,1676,100,167,4,3684
"Genesee Community College","New York","NY","Public","2 Year",8720,4640,13360,5240,13960,6876,NA,NA,NA,NA,NA,4361,53,47,410,261,1,5223,129,639,113,901
"Geneva College","Pennsylvania","PA","Private","4 Year",10170,26730,36900,26730,36900,1717,NA,NA,NA,NA,NA,903,2,12,171,16,0,1466,34,13,3,235
"George C. Wallace Community College at Dothan","Alabama","AL","Public","2 Year",NA,4680,4680,8550,8550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George C. Wallace State Community College at Selma","Alabama","AL","Public","2 Year",NA,4440,4440,4440,4440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Fox University","Oregon","OR","Private","4 Year",11250,36020,47270,36020,47270,3786,13,51200,89600,52,8,2136,24,133,68,263,19,2673,172,272,162,679
"George Mason University","Virginia","VA","Public","4 Year",11460,12462,23922,35922,47382,33729,8,58900,105700,48,23,18123,72,5001,3153,3420,122,16371,1209,2245,2136,12977
"George Washington University",NA,"DC","Private","4 Year",13850,55230,69080,55230,69080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgetown College","Kentucky","KY","Private","4 Year",9780,38650,48430,38650,48430,1262,9,45000,81900,54,10,752,3,11,105,38,0,1026,34,27,18,191
"Georgetown University",NA,"DC","Private","4 Year",16509,54104,70613,54104,70613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia College and State University","Georgia","GA","Public","4 Year",11016,9346,20362,28060,39076,6772,NA,NA,NA,NA,NA,4150,14,99,506,329,5,5540,155,16,108,1108
"Georgia Gwinnett College","Georgia","GA","Public","4 Year",12870,6124,18994,18552,31422,10828,NA,NA,NA,NA,NA,5923,15,954,3378,1619,9,4150,415,104,184,6390
"Georgia Highlands College","Georgia","GA","Public","2 Year",NA,3844,3844,11590,11590,5365,NA,NA,NA,NA,NA,3307,13,71,940,468,6,3661,138,25,43,1636
"Georgia Institute of Technology","Georgia","GA","Public","4 Year",11884,12424,24308,33020,44904,23109,NA,NA,NA,NA,NA,6969,16,3583,1298,1290,18,11094,683,176,4951,6888
"Georgia Military College","Georgia","GA","Public","2 Year",NA,6120,6120,6120,6120,7262,NA,NA,NA,NA,NA,4408,93,123,3125,395,23,3020,20,447,16,3779
"Georgia Northwestern Technical College","Georgia","GA","Public","2 Year",NA,3460,3460,6258,6258,5816,NA,NA,NA,NA,NA,3712,19,41,531,529,4,4588,84,1,19,1208
"Georgia Perimeter College","Georgia","GA","Public","2 Year",NA,3860,3860,11606,11606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia Piedmont Technical College","Georgia","GA","Public","2 Year",NA,3454,3454,6124,6124,4050,NA,NA,NA,NA,NA,2494,13,85,3166,102,6,541,87,16,34,3459
"Georgia Southern University","Georgia","GA","Public","4 Year",10070,7422,17492,20904,30974,20517,8,49000,88000,49,17,10716,89,280,5249,1235,22,12516,383,386,357,7258
"Georgia Southwestern State University","Georgia","GA","Public","4 Year",8120,6336,14456,19412,27532,2666,NA,NA,NA,NA,NA,1685,3,39,717,102,6,1684,39,13,63,906
"Georgia State University","Georgia","GA","Public","4 Year",11378,10858,22236,29432,40810,32556,7,50600,90800,47,18,19208,62,3386,11875,2651,27,10788,1335,926,1506,19336
"Georgian Court University","New Jersey","NJ","Private","4 Year",10808,32876,43684,32876,43684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germanna Community College","Virginia","VA","Public","2 Year",NA,4913,4913,10841,10841,7282,NA,NA,NA,NA,NA,4378,40,179,1033,689,26,4851,377,65,22,2344
"Gettysburg College","Pennsylvania","PA","Private","4 Year",13010,54480,67490,54480,67490,2447,12,58400,109300,39,24,1284,1,45,87,113,0,1959,70,80,92,316
"Glen Oaks Community College","Michigan","MI","Public","2 Year",NA,4440,4440,7350,7350,1104,NA,NA,NA,NA,NA,681,2,10,52,72,2,909,4,51,2,142
"Glendale Community College","California","CA","Public","2 Year",NA,1451,1451,8381,8381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale Community College","Arizona","AZ","Public","2 Year",NA,2580,2580,9840,9840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glenville State College","West Virginia","WV","Public","4 Year",NA,7327,7327,16565,16565,1802,NA,NA,NA,NA,NA,759,0,3,232,22,0,1375,19,145,6,276
"Global University","Missouri","MO","Private","4 Year",NA,4770,4770,4770,4770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"God's Bible School and College","Ohio","OH","Private","4 Year",NA,4270,4270,4270,4270,310,NA,NA,NA,NA,NA,140,2,3,10,10,0,250,0,6,29,25
"Goddard College","Vermont","VT","Private","4 Year",1698,16586,18284,16586,18284,538,10,42700,76900,NA,0,376,2,10,19,24,2,411,9,61,0,66
"Gogebic Community College","Michigan","MI","Public","2 Year",5600,4924,10524,7373,12973,1119,NA,NA,NA,NA,NA,686,38,5,20,6,0,927,0,123,0,69
"Golden Gate University","California","CA","Private","4 Year",NA,15840,15840,15840,15840,2909,NA,NA,NA,NA,NA,1593,11,496,191,280,46,873,53,560,399,1077
"Golden West College","California","CA","Public","2 Year",NA,1452,1452,9552,9552,12394,NA,NA,NA,NA,NA,6556,37,3421,258,3906,64,3792,549,152,215,8235
"Goldey-Beacom College","Delaware","DE","Private","4 Year",6400,24300,30700,24300,30700,2012,2,49800,86900,42,25,869,4,55,215,28,0,395,26,10,1279,328
"Goldfarb School of Nursing at Barnes-Jewish College","Missouri","MO","Private","4 Year",NA,21150,21150,21150,21150,715,NA,NA,NA,NA,NA,633,0,23,43,15,1,578,15,40,0,97
"Gonzaga University","Washington","WA","Private","4 Year",11944,43210,55154,43210,55154,7352,4,57800,107600,51,19,4150,57,289,119,561,27,5131,307,420,441,1360
"Good Samaritan College of Nursing and Health Science","Ohio","OH","Private","2 Year",NA,15959,15959,15959,15959,353,NA,NA,NA,NA,NA,321,0,6,39,9,0,296,3,0,0,57
"Goodwin College","Connecticut","CT","Private","2 Year",NA,20888,20888,20888,20888,3440,NA,NA,NA,NA,NA,2805,11,78,778,633,4,1842,75,6,13,1579
"Gordon College","Massachusetts","MA","Private","4 Year",11070,37400,48470,37400,48470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gordon State College","Georgia","GA","Public","2 Year",6656,4292,10948,12714,19370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goshen College","Indiana","IN","Private","4 Year",10650,33700,44350,33700,44350,843,NA,NA,NA,NA,NA,503,0,17,34,104,0,582,27,6,73,182
"Goucher College","Maryland","MD","Private","4 Year",14506,44300,58806,44300,58806,2120,17,49400,90600,42,11,1502,5,55,218,137,1,1220,62,397,25,478
"Governors State University","Illinois","IL","Public","4 Year",10346,12196,22542,21586,31932,5776,NA,NA,NA,NA,NA,4049,15,117,2222,488,8,2278,101,429,118,2951
"Grace Bible College","Michigan","MI","Private","4 Year",7700,19950,27650,19950,27650,700,NA,NA,NA,NA,NA,358,10,4,149,27,1,461,33,13,2,224
"Grace College","Indiana","IN","Private","4 Year",9134,24768,33902,24768,33902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grace University","Nebraska","NE","Private","4 Year",6912,23030,29942,23030,29942,469,NA,NA,NA,NA,NA,246,5,8,52,45,2,347,3,0,7,115
"Graceland University","Iowa","IA","Private","4 Year",8760,29240,38000,29240,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grambling State University","Louisiana","LA","Public","4 Year",7192,7435,14627,16458,23650,4504,21,43100,73100,66,10,2802,13,10,4088,41,2,100,56,32,162,4210
"Grand Canyon University","Arizona","AZ","For Profit","4 Year",10100,27090,37190,27090,37190,62304,NA,NA,NA,NA,NA,46647,586,2446,13856,8933,295,28715,1558,5915,0,27674
"Grand Rapids Community College","Michigan","MI","Public","2 Year",NA,3879,3879,11319,11319,15668,NA,NA,NA,NA,NA,7995,131,562,1580,1541,9,10794,262,771,18,4085
"Grand Valley State University","Michigan","MI","Public","4 Year",8690,12484,21174,17762,26452,25094,NA,NA,NA,NA,NA,14961,95,476,1290,1090,13,20877,744,108,401,3708
"Grand View University","Iowa","IA","Private","4 Year",9178,27608,36786,27608,36786,2064,NA,NA,NA,NA,NA,1160,6,59,164,76,3,1499,63,154,40,371
"Granite State College","New Hampshire","NH","Public","4 Year",NA,9645,9645,10875,10875,2209,NA,NA,NA,NA,NA,1640,11,19,31,47,1,1866,37,196,1,146
"Grantham University","Kansas","KS","For Profit","4 Year",NA,6540,6540,6540,6540,12577,NA,NA,NA,NA,NA,6425,71,101,4669,552,38,3143,249,3753,1,5680
"Gratz College","Pennsylvania","PA","Private","4 Year",NA,17630,17630,17630,17630,612,NA,NA,NA,NA,NA,459,1,5,9,8,1,357,8,222,1,32
"Grays Harbor College","Washington","WA","Public","2 Year",NA,4620,4620,5043,5043,2006,NA,NA,NA,NA,NA,1027,66,41,71,199,11,1369,142,106,1,530
"Grayson College","Texas","TX","Public","2 Year",5700,3600,9300,6120,11820,4636,NA,NA,NA,NA,NA,2813,120,42,334,627,3,3256,173,34,47,1299
"Great Basin College","Nevada","NV","Public","4 Year",3366,3128,6494,9542,12908,3024,NA,NA,NA,NA,NA,1952,96,62,57,488,25,2062,77,153,4,805
"Great Bay Community College","New Hampshire","NH","Public","2 Year",NA,7200,7200,15450,15450,2079,NA,NA,NA,NA,NA,1257,6,75,32,23,2,1813,21,107,0,159
"Great Falls College Montana State University","Montana","MT","Public","2 Year",NA,3386,3386,10278,10278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Great Lakes Christian College","Michigan","MI","Private","4 Year",8800,17220,26020,17220,26020,160,NA,NA,NA,NA,NA,62,0,2,36,0,0,103,4,12,3,42
"Green Mountain College","Vermont","VT","Private","4 Year",11722,37002,48724,37002,48724,833,12,42000,75200,57,2,477,8,7,34,28,0,511,9,218,18,86
"Green River College","Washington","WA","Public","4 Year",NA,4581,4581,4581,4581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greenfield Community College","Massachusetts","MA","Public","2 Year",NA,6932,6932,14582,14582,2127,NA,NA,NA,NA,NA,1283,12,79,61,146,1,1669,73,86,0,372
"Greensboro College","North Carolina","NC","Private","4 Year",10800,29140,39940,29140,39940,905,NA,NA,NA,NA,NA,471,7,7,280,32,1,479,28,70,1,355
"Greenville Technical College","South Carolina","SC","Public","2 Year",NA,5580,5580,11100,11100,12592,NA,NA,NA,NA,NA,7323,50,205,2758,1007,16,7736,259,521,40,4295
"Greenville University","Illinois","IL","Private","4 Year",9048,27152,36200,27152,36200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grinnell College","Iowa","IA","Private","4 Year",12810,52392,65202,52392,65202,1734,4,53400,96500,49,41,947,3,128,100,134,0,1004,74,63,228,439
"Grossmont College","California","CA","Public","2 Year",NA,1418,1418,9158,9158,18040,NA,NA,NA,NA,NA,10063,51,1466,1215,5850,87,7475,1195,178,523,9864
"Grove City College","Pennsylvania","PA","Private","4 Year",9770,17930,27700,17930,27700,NA,24,54400,98400,53,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guam Community College",NA,"GU","Public","2 Year",NA,4194,4194,4944,4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guilford College","North Carolina","NC","Private","4 Year",11200,38250,49450,38250,49450,2137,NA,NA,NA,NA,NA,1138,9,61,479,114,3,1339,70,27,35,736
"Guilford Technical Community College","North Carolina","NC","Public","2 Year",NA,2333,2333,8093,8093,12430,NA,NA,NA,NA,NA,7078,101,482,5195,832,7,5146,231,294,142,6848
"Gulf Coast State College","Florida","FL","Public","2 Year",NA,2963,2963,10791,10791,5926,NA,NA,NA,NA,NA,3696,45,164,670,324,0,4297,207,208,11,1410
"Gupton Jones College of Funeral Service","Georgia","GA","Private","2 Year",NA,11750,11750,11750,11750,162,NA,NA,NA,NA,NA,85,0,0,88,0,0,74,0,0,0,88
"Gustavus Adolphus College","Minnesota","MN","Private","4 Year",9910,45400,55310,45400,55310,2457,7,51200,96800,47,22,1332,2,97,46,81,1,2074,86,5,65,313
"Gutenberg College","Oregon","OR","Private","4 Year",5000,13650,18650,13650,18650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gwinnett College","Georgia","GA","For Profit","2 Year",NA,9850,9850,9850,9850,325,NA,NA,NA,NA,NA,292,0,15,211,33,0,66,0,0,0,259
"Gwinnett Technical College","Georgia","GA","Public","2 Year",NA,3506,3506,6176,6176,7234,NA,NA,NA,NA,NA,4365,14,508,2496,872,9,2623,189,436,87,4088
"Gwynedd Mercy University","Pennsylvania","PA","Private","4 Year",12370,35600,47970,35600,47970,2459,NA,NA,NA,NA,NA,1868,10,101,584,108,0,1485,0,167,4,803
"Hagerstown Community College","Maryland","MD","Public","2 Year",NA,4050,4050,7920,7920,4615,NA,NA,NA,NA,NA,2933,14,82,454,247,7,3521,177,88,25,981
"Halifax Community College","North Carolina","NC","Public","2 Year",NA,2452,2452,8212,8212,1293,NA,NA,NA,NA,NA,824,30,4,680,24,46,477,14,14,4,798
"Hamilton College","New York","NY","Private","4 Year",13870,54620,68490,54620,68490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hamline University","Minnesota","MN","Private","4 Year",10358,41298,51656,41298,51656,4469,14,48100,90400,52,5,2770,25,180,190,180,5,2255,131,1424,79,711
"Hampden-Sydney College","Virginia","VA","Private","4 Year",13558,45746,59304,45746,59304,1105,6,58300,108600,52,20,2,5,20,85,23,0,902,60,9,1,193
"Hampshire College","Massachusetts","MA","Private","4 Year",13606,51668,65274,51668,65274,1376,NA,NA,NA,NA,NA,815,1,31,53,133,1,933,80,75,69,299
"Hampton University","Virginia","VA","Private","4 Year",11778,26702,38480,26702,38480,4393,13,52700,92600,61,12,2858,6,71,3921,50,0,283,1,0,61,4049
"Hannibal-LaGrange University","Missouri","MO","Private","4 Year",8108,22750,30858,22750,30858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hanover College","Indiana","IN","Private","4 Year",11580,37670,49250,37670,49250,1145,18,47500,85100,53,24,663,7,16,55,26,0,928,21,29,63,125
"Harcum College","Pennsylvania","PA","Private","2 Year",10200,24200,34400,24200,34400,1588,NA,NA,NA,NA,NA,1290,3,39,752,151,0,498,0,84,61,945
"Hardin-Simmons University","Texas","TX","Private","4 Year",8080,28990,37070,28990,37070,2084,NA,NA,NA,NA,NA,1067,4,27,148,295,2,1461,52,48,47,528
"Harding University","Arkansas","AR","Private","4 Year",7044,20135,27179,20135,27179,6059,4,49200,88600,47,10,3472,46,86,303,158,1,5012,87,28,338,681
"Harford Community College","Maryland","MD","Public","2 Year",NA,4644,4644,10075,10075,6714,NA,NA,NA,NA,NA,3956,24,144,1027,311,15,4873,205,49,66,1726
"Harper College","Illinois","IL","Public","2 Year",NA,4578,4578,14553,14553,14957,NA,NA,NA,NA,NA,8200,20,1572,569,3582,94,8119,426,573,2,6263
"Harris-Stowe State University","Missouri","MO","Public","4 Year",9250,5340,14590,9973,19223,1280,NA,NA,NA,NA,NA,866,1,2,1058,22,0,98,31,59,9,1114
"Harrisburg Area Community College","Pennsylvania","PA","Public","2 Year",NA,6683,6683,9135,9135,20230,NA,NA,NA,NA,NA,12670,67,622,2154,2011,43,13937,528,490,378,5425
"Harrisburg University of Science and Technology","Pennsylvania","PA","Private","4 Year",6800,23900,30700,23900,30700,892,NA,NA,NA,NA,NA,288,3,23,114,29,0,158,16,12,537,185
"Hartnell College","California","CA","Public","2 Year",NA,1400,1400,8870,8870,9800,NA,NA,NA,NA,NA,4774,19,432,199,6762,34,1397,178,772,7,7624
"Hartwick College","New York","NY","Private","4 Year",12460,45510,57970,45510,57970,1540,NA,NA,NA,NA,NA,936,6,31,120,107,0,1043,0,180,53,264
"Harvard College","Massachusetts","MA","Private","4 Year",17160,50420,67580,50420,67580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harvey Mudd College","California","CA","Private","4 Year",18127,56876,75003,56876,75003,804,1,88800,158200,55,85,373,4,167,13,80,0,352,50,36,102,314
"Haskell Indian Nations University","Kansas","KS","Public","4 Year",950,480,1430,480,1430,808,NA,NA,NA,NA,NA,419,808,0,0,0,0,0,0,0,0,808
"Hastings College","Nebraska","NE","Private","4 Year",9700,30050,39750,30050,39750,1212,8,48600,87100,55,14,591,6,16,41,67,4,1010,33,13,22,167
